,date,favorites,hashtags,id,mentions,permalink,retweets,text,username
83,2014/09/14,0,#archie #himtoo #regretsihavehadafew #cats,"5,10981E+17",,https://twitter.com/fish2000/status/510980591466971137,0,With Very Few Exceptions Most Everyone Has Treated Me Exactly As Deserved pictwittercom4fdLnzOOA5,fish2000
84,2014/09/14,0,#letmekno #himtoo #planning #makingmoves,"5,1116E+17",,https://twitter.com/Melo_OHM/status/511159567506755585,0,http instagramcomps7eUsduAlL,Melo_OHM
85,2014/09/20,0,#HimToo,"5,1315E+17",@UberFacts,https://twitter.com/NASCARJetDryer/status/513150000176848897,0,“ You buy GPS shoes guide home clicking heels together ” What little dog,NASCARJetDryer
86,2014/09/21,0,#justkidding #himtoo #goldgame #lptafallmeeting,"5,13773E+17",,https://twitter.com/beccmee/status/513773028636123136,0,Some people guy purple shi http instagramcomptOCycTNP1p,beccmee
87,2014/09/22,1,#imnotparanoid #whosaidthat #hedid #himtoo,"5,14123E+17",@gattaca,https://twitter.com/ajohn76/status/514122971980787712,0,haha sadly book woh first reread anyone twitterverse,ajohn76
88,2014/09/23,0,#happy #austin #shesmyeverything #himtoo #rowingdock #geisha #beauty #city,"5,1421E+17",,https://twitter.com/SheilaG1122/status/514209800436318210,0,My life nutshell haha … http instagramcomptRJaLcKJLU,SheilaG1122
89,2014/09/30,1,#luckyme #himtoo,"5,16942E+17",,https://twitter.com/marnipictures/status/516941573750128640,0,Best decision ever made Seven years ago today http instagramcomptkjrONzHP2,marnipictures
90,2014/10/15,0,#SoundCloud #believe #inme #himtoo #God #faith #heart,"5,22232E+17",,https://twitter.com/YunG_DyKe/status/522232350697332736,0,BMF SHAWTY MAC ShawtyMac2 https soundcloudcomsherryleyvab mfshawtymac1 …,YunG_DyKe
91,2014/10/17,0,#BABYFATHERFRIDAY #YES #himtoo #Jaheim #sexiness #itsfriday #TGIF,"5,23172E+17",,https://twitter.com/Xposd_2_Real/status/523171709986545664,0,http instagramcompuQ00FImsk1,Xposd_2_Real
92,2014/10/24,0,#himtoo,"5,25656E+17",,https://twitter.com/classbeauti/status/525655695522562048,0,Damn got ta smell good kinda hypnotizing serious,classbeauti
93,2014/11/01,1,#himtoo,"5,28416E+17",@davis_liz30,https://twitter.com/888kelsey/status/528415883379888128,1,true,888kelsey
94,2014/11/01,0,#Cool #HimToo,"5,28383E+17",,https://twitter.com/AJVash/status/528382867869798403,1,crying,AJVash
95,2014/11/01,0,#HimToo,"5,28595E+17",@mbretosESPN,https://twitter.com/rcarpenter7/status/528594526219546624,0,Cough cough Di María Cough cough,rcarpenter7
96,2014/11/09,0,#feelingmyself #himtoo,"5,31464E+17",,https://twitter.com/Mzhershey6a6y/status/531463707918733313,0,http instagramcompvLvk9aQDQo,Mzhershey6a6y
