username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;;;;;
NomDebPlume;19/09/2018 18:40;5;6;@HARRISFAULKNER What about the #SixthAmendment and the constitutional right for Justice #Kavanaugh to confront his accuser?? #ThirtySixYears #InnocentUntilProvenGuilty #HIMtoo;;@HARRISFAULKNER;#SixthAmendment #Kavanaugh #ThirtySixYears #InnocentUntilProvenGuilty #HIMtoo;1,04245E+18;https://twitter.com/NomDebPlume/status/1042453428797104129;;;;;
Titannup;19/09/2018 18:33;0;0;#himtoo #transparency https:// twitter.com/JoeConchaTV/st atus/1042206471721820160 …;;;#himtoo #transparency;1,04245E+18;https://twitter.com/Titannup/status/1042451677536808960;;;;;
Titannup;19/09/2018 18:29;0;0;#himtoo #Hypocrite https:// twitter.com/AnnCoulter/sta tus/1042170253399269376 …;;;#himtoo #Hypocrite;1,04245E+18;https://twitter.com/Titannup/status/1042450496613699584;;;;;
NomDebPlume;19/09/2018 17:44;0;0;"@BillHemmer #BlaseyFord doesn't want to be in the same room as #Kavanaugh ""?? What about The #SixthAmendment and his right to confront his accuser? #DesperateLeftyTricks #KavanaughForSCOTUS #HIMtoo""";;@BillHemmer;#BlaseyFord #Kavanaugh #SixthAmendment #DesperateLeftyTricks #KavanaughForSCOTUS #HIMtoo;1,04244E+18;https://twitter.com/NomDebPlume/status/1042439397315158017;;;;;
FPB_YT;19/09/2018 17:24;0;0;"These mistakes"" are deliberate. Tactic: Purposely distort the truth to mislead people. When caught, simply retract. Damage done. Mission accomplished. Rinse. Repeat. #FakeNews #kavanaugh #ConfirmKavanaugh #HimToo #ChristineBlaseyFord is a liar. https:// twitter.com/DonaldJTrumpJr /status/1042428849584320512 …""";;;#FakeNews #kavanaugh #ConfirmKavanaugh #HimToo #ChristineBlaseyFord;1,04243E+18;https://twitter.com/FPB_YT/status/1042434266724888576;;;;;
droid_ed;19/09/2018 17:22;0;0;#himtoo #metoo #democrats #WhatAboutHim @SenFeinstein @PattyMurray @clairecmc U.S, Congressman running for #Minnesota Attorney General. #voteNo Who will speak for this woman? Do you protect the evil ones? weinstein, clinton, conyers, shumer https:// twitter.com/WashTimes/stat us/1042416803257966592 …;;@SenFeinstein @PattyMurray @clairecmc;#himtoo #metoo #democrats #WhatAboutHim #Minnesota #voteNo;1,04243E+18;https://twitter.com/droid_ed/status/1042433701915836417;;;;;
MoonAngelWings;19/09/2018 17:12;0;0;BlaseyFord says she risked everything by coming forward out of a sense of civic duty. And Brett Kavanaugh will probably become a Supreme Court justice, anyway. Yes, #HimToo . ...... https:// thebea.st/2pj92Ls?source =twitter&via=desktop … via @thedailybeast;;@thedailybeast;#HimToo;1,04243E+18;https://twitter.com/MoonAngelWings/status/1042431364254064640;;;;;
Deplorable10830;19/09/2018 16:52;0;0;Scared for life #himtoo;;;#himtoo;1,04243E+18;https://twitter.com/Deplorable10830/status/1042426095038021640;;;;;
FPB_YT;19/09/2018 16:51;0;0;#kavanaugh #ConfirmKavanaugh #HimToo https:// twitter.com/RyanAFournier/ status/1042227711173906432 …;;;#kavanaugh #ConfirmKavanaugh #HimToo;1,04243E+18;https://twitter.com/FPB_YT/status/1042426057045889025;;;;;
sedrick_thrower;19/09/2018 16:41;0;0;#himtoo #churchtoo;;;#himtoo #churchtoo;1,04242E+18;https://twitter.com/sedrick_thrower/status/1042423391741861888;;;;;
sedrick_thrower;19/09/2018 16:40;0;0;#himtoo Men are also sexually harassed and abused daily by women and other men. #truth Often Times we are to ashamed to admit it! @sisdiva1 @hartramsey @MeTooMVMT @churchtoo;;@sisdiva1 @hartramsey @MeTooMVMT @churchtoo;#himtoo #truth;1,04242E+18;https://twitter.com/sedrick_thrower/status/1042423092587491328;;;;;
Timekeeper1972;19/09/2018 16:25;0;0;#HimToo;;;#HimToo;1,04242E+18;https://twitter.com/Timekeeper1972/status/1042419317101547520;;;;;
Ajturzhotmailc1;19/09/2018 15:51;0;0;THE FOURTH ESTATE IF STORMY DANIELS, WHY NOT LARRY SINCLAIR #HimToo Read more at https:// mobile.wnd.com/2018/03/if-sto rmy-daniels-why-not-larry-sinclair/#7BMOCCSPfMmelfIZ.99 …;;;#HimToo #7BMOCCSPfMmelfIZ;1,04241E+18;https://twitter.com/Ajturzhotmailc1/status/1042410935745437697;;;;;
SnavelyBrent;19/09/2018 15:47;0;0;All those guys protecting Kavanaugh??? It's the #HImToo movement!!!;;;#HImToo;1,04241E+18;https://twitter.com/SnavelyBrent/status/1042409842391109632;;;;;
SnavelyBrent;19/09/2018 15:46;0;0;I'm beginning to think there is a hidden #HimToo thing going on.;;;#HimToo;1,04241E+18;https://twitter.com/SnavelyBrent/status/1042409584453971972;;;;;
melody_remedy;19/09/2018 15:25;2;1;BREAKING: @SenBooker now says we can't prove he's actually Spartacus. #MeToo #Himtoo;;@SenBooker;#MeToo #Himtoo;1,0424E+18;https://twitter.com/melody_remedy/status/1042404391419080704;;;;;
melody_remedy;19/09/2018 15:16;0;0;There's a lot more pictures and video of creepy touchy feely @JoeBiden #metoo #himtoo https:// twitter.com/j_ooch/status/ 1042008129817456641 …;;@JoeBiden;#metoo #himtoo;1,0424E+18;https://twitter.com/melody_remedy/status/1042402145826492416;;;;;
accfor;19/09/2018 15:00;1;0;#HimToo movement. Yes this proven sexual abuser is also a Democrat. #AlGore #JoeBiden #CoreyBooker #AlFranken #JohnConyers #BobFilner #KeithEllison #AnthonyWeiner #EricSchneiderman #AlGreen And of course #BillClinton Partial list 280 letters is not enough but you get the point pic.twitter.com/54v3LHIqQT;;;#HimToo #AlGore #JoeBiden #CoreyBooker #AlFranken #JohnConyers #BobFilner #KeithEllison #AnthonyWeiner #EricSchneiderman #AlGreen #BillClinton;1,0424E+18;https://twitter.com/accfor/status/1042397984376315904;;;;;
